# INI Master auf Deutsch (de). Maschinelle Übersetzung, noch von keinem
# Muttersprachler geprüft. Korrekturen sind willkommen, auf GitHub
# (github.com/shin2344234/ini-master).
#
# Eine Zeile pro Text: das englische Original, ein Tabulator, dann die
# Übersetzung. \n steht für einen Zeilenumbruch. Zeilen, die mit # beginnen,
# werden ignoriert. Bleibt eine Zeile nach dem Tabulator leer, wird weiter
# der englische Text angezeigt.
#
# Jedes {0}, {1} und so weiter muss erhalten bleiben. Die Reihenfolge darf
# sich ändern, aber eine Zeile, der einer fehlt oder die einen zu viel hat,
# wird beim Laden übersprungen.
#
# Diese Datei ist in INIMaster.exe eingebaut. Eine Datei mit diesem Namen in
# %LOCALAPPDATA%\INIMaster\lang oder neben der exe hat Vorrang.

 (bundled with INI Master)	 (mit INI Master geliefert)
(empty)	(leer)
(not in the file yet)	(noch nicht in der Datei)
, then 	, danach 
1 change	1 Änderung
1 other ini file	1 weitere INI-Datei
1 plugin	1 Plugin
1 unsaved change	1 ungespeicherte Änderung
@ directives in the ini	@-Anweisungen in der INI
About this mod	Über diese Mod
Adding help for INI Master	Hilfe für INI Master hinzufügen
All files	Alle Dateien
Any other value. The list covers the ones the comments name.	Jeder andere Wert. Die Liste enthält die Werte, die in den Kommentaren stehen.
Asking GitHub for the newest version...	GitHub wird nach der neuesten Version gefragt...
Back to the default: {0}	Zurück zum Standardwert: {0}
Check for updates	Nach Updates suchen
Check when INI Master starts	Beim Start von INI Master suchen
Checked every two seconds. Saving works either way; a running game only notices if the plugin rereads its ini.	Wird alle zwei Sekunden geprüft. Speichern funktioniert in beiden Fällen. Ein laufendes Spiel bemerkt die Änderung nur, wenn das Plugin seine INI neu einliest.
Choose the Crimson Desert folder	Crimson-Desert-Ordner wählen
Choose the Crimson Desert folder, the one with bin64 in it	Wähle den Crimson-Desert-Ordner, den mit bin64 darin
Click, then press the key you want. Tab moves on.	Klicken und dann die gewünschte Taste drücken. Tab springt weiter.
Could not check for updates: {0}	Die Suche nach Updates ist fehlgeschlagen: {0}
Could not create {0}: {1}	{0} konnte nicht erstellt werden: {1}
Could not find Crimson Desert. Use the Game folder button to pick it.	Crimson Desert wurde nicht gefunden. Wähle den Ordner mit der Schaltfläche Spielordner.
Could not install the update: {0}	Das Update konnte nicht installiert werden: {0}
Could not open the language folder: {0}	Der Sprachordner konnte nicht geöffnet werden: {0}
Could not read the plugin folder: {0}	Der Plugin-Ordner konnte nicht gelesen werden: {0}
Could not read {0}: {1}	{0} konnte nicht gelesen werden: {1}
Could not read: {0}	Nicht lesbar: {0}
Could not save {0}: {1}	{0} konnte nicht gespeichert werden: {1}
Could not write the template: {0}	Die Vorlage konnte nicht geschrieben werden: {0}
Create it	Erstellen
Created {0} from the defaults the plugin describes.	{0} wurde aus den Standardwerten des Plugins erstellt.
Crimson Desert started. Changes still save straight to the ini files.	Crimson Desert wurde gestartet. Änderungen werden weiterhin direkt in die INI-Dateien gespeichert.
Crimson Desert was not found. Choose its folder.	Crimson Desert wurde nicht gefunden. Wähle den Spielordner.
Default: {0}	Standard: {0}
Described by: {0}	Quelle: {0}
Discard text edits	Textänderungen verwerfen
Downloading INI Master {0}, {1}%	INI Master {0} wird heruntergeladen, {1} %
Edit every value as the text in the file, for when a control guessed wrong.	Jeden Wert als Text aus der Datei bearbeiten, falls ein Steuerelement falsch geraten hat.
Embedded help	Eingebaute Hilfe
Export metadata template...	Metadaten-Vorlage exportieren...
File text	Dateitext
Find a mod	Mod suchen
Find a setting (Ctrl+F)	Einstellung suchen (Strg+F)
Found {0} and {1} in {2}.	{0} und {1} in {2} gefunden.
Game folder	Spielordner
Game not running	Spiel läuft nicht
Game running	Spiel läuft
Help from {0}.	Hilfe aus {0}.
How mod makers add help	Wie Mod-Autoren Hilfe hinzufügen
INI Master metadata	INI-Master-Metadaten
INI Master reads help for a setting from three places, and later ones win:\n\n1. The ini's own comments. The comment lines directly above a key are its help. Lines like ";   0  off" and ";   1  on" become choices, and "; ---- name" starts a group. A comment line that starts with ;@ sets things exactly, for example:\n   ;@ type=int min=0 max=100 unit=% label="Use cost"\n\n2. A file named after the ini with the .inimeta extension, next to it. It holds JSON, or an annotated copy of the default ini.\n\n3. The plugin itself. Add the same .inimeta file to the plugin's .rc file:\n   INIMETA INIMETA "MyMod.inimeta"\n\nAny text in the metadata can come in several languages. More > Export metadata template writes a starting .inimeta for the selected ini.	INI Master liest die Hilfe zu einer Einstellung aus drei Quellen, und spätere haben Vorrang:\n\n1. Die Kommentare der INI selbst. Die Kommentarzeilen direkt über einem Schlüssel sind seine Hilfe. Zeilen wie ";   0  off" und ";   1  on" werden zu Auswahlmöglichkeiten, und "; ---- name" beginnt eine Gruppe. Eine Kommentarzeile, die mit ;@ beginnt, legt Dinge genau fest, zum Beispiel:\n   ;@ type=int min=0 max=100 unit=% label="Use cost"\n\n2. Eine Datei neben der INI mit deren Namen und der Endung .inimeta. Sie enthält JSON oder eine kommentierte Kopie der Standard-INI.\n\n3. Das Plugin selbst. Füge dieselbe .inimeta-Datei in die .rc-Datei des Plugins ein:\n   INIMETA INIMETA "MyMod.inimeta"\n\nJeder Text in den Metadaten kann in mehreren Sprachen vorliegen. Mehr > Metadaten-Vorlage exportieren schreibt eine erste .inimeta für die gewählte INI.
INI Master {0} is out. You have {1}.\n\n{2}\n\nDownload and install it now?	INI Master {0} ist erschienen. Du hast {1}.\n\n{2}\n\nJetzt herunterladen und installieren?
INI Master {0} is out. You have {1}.\n\n{2}\n\nThis copy cannot replace itself, so open the download page?	INI Master {0} ist erschienen. Du hast {1}.\n\n{2}\n\nDiese Kopie kann sich nicht selbst ersetzen. Soll die Download-Seite geöffnet werden?
INI Master {0} is the newest version.	INI Master {0} ist die neueste Version.
Installing INI Master {0}...	INI Master {0} wird installiert...
Language	Sprache
Language: {0}.	Sprache: {0}.
Language: {0}. {1} lines of the translation were skipped because their placeholders did not match the English.	Sprache: {0}. {1} Zeilen der Übersetzung wurden übersprungen, weil ihre Platzhalter nicht zum Englischen passten.
Loader, upscaler and overlay settings such as winmm.ini or OptiScaler.ini.	Einstellungen von Loadern, Upscalern und Overlays wie winmm.ini oder OptiScaler.ini.
Mod page	Mod-Seite
Mods	Mods
More	Mehr
Needs a number.	Braucht eine Zahl.
Needs a whole number.	Braucht eine ganze Zahl.
Next launch	Nächster Start
No key	Keine Taste
No mod selected	Keine Mod ausgewählt
No plugin with this name. The ini may belong to a DLL mod or an overlay.	Kein Plugin mit diesem Namen. Die INI gehört vielleicht zu einer DLL-Mod oder einem Overlay.
No translation for {0} yet, so the app stays in English. Mod help still follows the language where the mod has it.	Für {0} gibt es noch keine Übersetzung, deshalb bleibt die App auf Englisch. Die Hilfe der Mods folgt trotzdem der Sprache, wenn die Mod sie mitbringt.
Nobody wrote help for this one yet.	Dafür hat noch niemand eine Hilfe geschrieben.
Not one of the listed choices.	Keiner der aufgeführten Werte.
Not saved. {0}: {1}	Nicht gespeichert. {0}: {1}
Nothing to save. The text matches the file.	Nichts zu speichern. Der Text entspricht der Datei.
Off	Aus
On	An
Open backups of this ini	Sicherungen dieser INI öffnen
Open the plugin folder	Plugin-Ordner öffnen
Open this ini in the default editor	Diese INI im Standard-Editor öffnen
Other values are allowed too.	Andere Werte sind auch erlaubt.
Pick a plugin on the left. If the list is empty, point INI Master at the Crimson Desert folder with the Game folder button.	Wähle links ein Plugin. Ist die Liste leer, zeige INI Master mit der Schaltfläche Spielordner den Crimson-Desert-Ordner.
Plain text values	Werte als Text
Plugin: {0}	Plugin: {0}
Press a key...	Taste drücken...
Range: {0} to {1}	Bereich: {0} bis {1}
