# INI Master text for translation.
#
# Copy this file to INIMaster.<language>.txt, for example INIMaster.de.txt
# or INIMaster.pt-br.txt, and write each translation after the tab at the
# end of its line. \n is a line break. Lines starting with # are ignored.
# A line left empty after the tab keeps the English.
#
# Keep every {0}, {1} and so on. Their order may change, but a line that
# adds or drops one is skipped when the file loads, since it would show
# the wrong values.
#
# Put the finished file in %LOCALAPPDATA%\INIMaster\lang, or in a lang
# folder next to INIMaster.exe, then pick the language under More >
# Language. docs/TRANSLATING.md has the rest.
 (bundled with INI Master)	 （隨 INI Master 一同提供）
(empty)	（空白）
(not in the file yet)	（檔案中尚不存在）
, then 	，然後 
1 change	1 項變更
1 other ini file	1 個其他 ini 檔案
1 plugin	1 個外掛程式
1 unsaved change	1 項未儲存的變更
@ directives in the ini	ini 中的 @ 指令
About this mod	關於此模組
Adding help for INI Master	為 INI Master 新增說明
All files	所有檔案
Any other value. The list covers the ones the comments name.	也允許其他任意值。清單涵蓋註解中提到的值。
Back to the default: {0}	還原為預設值：{0}
Checked every two seconds. Saving works either way; a running game only notices if the plugin rereads its ini.	每兩秒檢查一次。無論哪種情況都能儲存；遊戲執行中只有外掛程式重新讀取其 ini 時才會偵測到變更。
Choose the Crimson Desert folder	選擇 Crimson Desert 資料夾
Choose the Crimson Desert folder, the one with bin64 in it	選擇 Crimson Desert 資料夾，也就是其中包含 bin64 的資料夾
Click, then press the key you want. Tab moves on.	按一下，然後按下所需按鍵。按 Tab 移到下一項。
Could not create {0}: {1}	無法建立 {0}：{1}
Could not find Crimson Desert. Use the Game folder button to pick it.	找不到 Crimson Desert。請使用「遊戲資料夾」按鈕選擇其資料夾。
Could not open the language folder: {0}	無法開啟語言資料夾：{0}
Could not read the plugin folder: {0}	無法讀取外掛程式資料夾：{0}
Could not read {0}: {1}	無法讀取 {0}：{1}
Could not read: {0}	無法讀取：{0}
Could not save {0}: {1}	無法儲存 {0}：{1}
Could not write the template: {0}	無法寫入範本：{0}
Create it	建立
Created {0} from the defaults the plugin describes.	已根據外掛程式描述的預設值建立 {0}。
Crimson Desert started. Changes still save straight to the ini files.	Crimson Desert 已啟動。變更仍會直接儲存到 ini 檔案。
Crimson Desert was not found. Choose its folder.	找不到 Crimson Desert。請選擇其資料夾。
Default: {0}	預設值：{0}
Described by: {0}	描述來源：{0}
Discard text edits	捨棄文字編輯
Edit every value as the text in the file, for when a control guessed wrong.	將每個值直接依檔案中的文字編輯，適用於控制項類型判斷錯誤的情況。
Embedded help	內嵌說明
Export metadata template...	匯出中繼資料範本...
File text	檔案文字
Find a mod	尋找模組
Find a setting (Ctrl+F)	尋找設定 (Ctrl+F)
Found {0} and {1} in {2}.	在 {2} 中找到 {0} 和 {1}。
Game folder	遊戲資料夾
Game not running	遊戲未執行
Game running	遊戲執行中
Help from {0}.	說明來源：{0}。
How mod makers add help	模組作者如何新增說明
INI Master metadata	INI Master 中繼資料
INI Master reads help for a setting from three places, and later ones win:\n\n1. The ini's own comments. The comment lines directly above a key are its help. Lines like ";   0  off" and ";   1  on" become choices, and "; ---- name" starts a group. A comment line that starts with ;@ sets things exactly, for example:\n   ;@ type=int min=0 max=100 unit=% label="Use cost"\n\n2. A file named after the ini with the .inimeta extension, next to it. It holds JSON, or an annotated copy of the default ini.\n\n3. The plugin itself. Add the same .inimeta file to the plugin's .rc file:\n   INIMETA INIMETA "MyMod.inimeta"\n\nAny text in the metadata can come in several languages. More > Export metadata template writes a starting .inimeta for the selected ini.	INI Master 會從三個位置讀取設定的說明，越後面的來源優先：\n\n1. ini 本身的註解。鍵正上方的註解行就是該鍵的說明。像 ";   0  off" 和 ";   1  on" 這樣的行會變成選項，而 "; ---- name" 會開始一個群組。以 ;@ 開頭的註解行可精確設定各項，例如：\n   ;@ type=int min=0 max=100 unit=% label="Use cost"\n\n2. 與 ini 同名、位於其旁邊且副檔名為 .inimeta 的檔案。它包含 JSON，或帶註解的預設 ini 副本。\n\n3. 外掛程式本身。將同一個 .inimeta 檔案加入外掛程式的 .rc 檔案：\n   INIMETA INIMETA "MyMod.inimeta"\n\n中繼資料中的任何文字都可以提供多種語言版本。「更多 > 匯出中繼資料範本」會為目前選取的 ini 寫出一個初始 .inimeta 檔案。
Language	語言
Language: {0}.	語言：{0}。
Language: {0}. {1} lines of the translation were skipped because their placeholders did not match the English.	語言：{0}。翻譯中有 {1} 行因預留位置與英文不相符而被略過。
Loader, upscaler and overlay settings such as winmm.ini or OptiScaler.ini.	載入器、升頻器與疊加層設定，例如 winmm.ini 或 OptiScaler.ini。
Mod page	模組頁面
Mods	模組
More	更多
Needs a number.	需要數字。
Needs a whole number.	需要整數。
Next launch	下次啟動
No key	無按鍵
No mod selected	未選擇模組
No plugin with this name. The ini may belong to a DLL mod or an overlay.	沒有此名稱的外掛程式。該 ini 可能屬於 DLL 模組或疊加層。
No translation for {0} yet, so the app stays in English. Mod help still follows the language where the mod has it.	目前沒有 {0} 翻譯，因此應用程式仍使用英文。若模組提供相應語言的說明，模組說明仍會使用該語言。
Nobody wrote help for this one yet.	目前還沒有人為此項撰寫說明。
Not one of the listed choices.	不是列出的選項之一。
Not saved. {0}: {1}	未儲存。{0}：{1}
Nothing to save. The text matches the file.	無需儲存。文字與檔案內容一致。
Off	關閉
On	開啟
Open backups of this ini	開啟此 ini 的備份
Open the plugin folder	開啟外掛程式資料夾
Open this ini in the default editor	在預設編輯器中開啟此 ini
Other values are allowed too.	也允許其他值。
Pick a plugin on the left. If the list is empty, point INI Master at the Crimson Desert folder with the Game folder button.	請在左側選擇一個外掛程式。如果清單為空，請使用「遊戲資料夾」按鈕將 INI Master 指向 Crimson Desert 資料夾。
Plain text values	純文字值
Plugin: {0}	外掛程式：{0}
Press a key...	按下一個按鍵...
Range: {0} to {1}	範圍：{0} 到 {1}
Range: {0} to {1}, read from the comments and not enforced	範圍：{0} 到 {1}，從註解中讀取但不強制限制
Rescan plugins	重新掃描外掛程式
Same as Windows: {0}	與 Windows 相同：{0}
Save	儲存
Save a metadata template for this ini	儲存此 ini 的中繼資料範本
Save all files	儲存所有檔案
