# INI Master text for translation.
#
# Copy this file to INIMaster.<language>.txt, for example INIMaster.de.txt
# or INIMaster.pt-br.txt, and write each translation after the tab at the
# end of its line. \n is a line break. Lines starting with # are ignored.
# A line left empty after the tab keeps the English.
#
# Keep every {0}, {1} and so on. Their order may change, but a line that
# adds or drops one is skipped when the file loads, since it would show
# the wrong values.
#
# Put the finished file in %LOCALAPPDATA%\INIMaster\lang, or in a lang
# folder next to INIMaster.exe, then pick the language under More >
# Language. docs/TRANSLATING.md has the rest.
 (bundled with INI Master)	 （随 INI Master 一同提供）
(empty)	（空）
(not in the file yet)	（文件中尚不存在）
, then 	，然后 
1 change	1 项更改
1 other ini file	1 个其他 ini 文件
1 plugin	1 个插件
1 unsaved change	1 项未保存的更改
@ directives in the ini	ini 中的 @ 指令
About this mod	关于此 Mod
Adding help for INI Master	为 INI Master 添加帮助
All files	所有文件
Any other value. The list covers the ones the comments name.	也允许其他任意值。列表涵盖注释中提到的值。
Back to the default: {0}	恢复默认值：{0}
Checked every two seconds. Saving works either way; a running game only notices if the plugin rereads its ini.	每两秒检查一次。无论哪种情况都能保存；游戏运行中只有插件重新读取其 ini 时才会检测到更改。
Choose the Crimson Desert folder	选择 Crimson Desert 文件夹
Choose the Crimson Desert folder, the one with bin64 in it	选择 Crimson Desert 文件夹，即其中包含 bin64 的文件夹
Click, then press the key you want. Tab moves on.	单击，然后按下所需按键。按 Tab 移到下一项。
Could not create {0}: {1}	无法创建 {0}：{1}
Could not find Crimson Desert. Use the Game folder button to pick it.	找不到 Crimson Desert。请使用“游戏文件夹”按钮选择其文件夹。
Could not open the language folder: {0}	无法打开语言文件夹：{0}
Could not read the plugin folder: {0}	无法读取插件文件夹：{0}
Could not read {0}: {1}	无法读取 {0}：{1}
Could not read: {0}	无法读取：{0}
Could not save {0}: {1}	无法保存 {0}：{1}
Could not write the template: {0}	无法写入模板：{0}
Create it	创建
Created {0} from the defaults the plugin describes.	已根据插件描述的默认值创建 {0}。
Crimson Desert started. Changes still save straight to the ini files.	Crimson Desert 已启动。更改仍会直接保存到 ini 文件。
Crimson Desert was not found. Choose its folder.	找不到 Crimson Desert。请选择其文件夹。
Default: {0}	默认值：{0}
Described by: {0}	描述来源：{0}
Discard text edits	放弃文本编辑
Edit every value as the text in the file, for when a control guessed wrong.	将每个值按文件中的文本直接编辑，适用于控件类型判断错误的情况。
Embedded help	嵌入式帮助
Export metadata template...	导出元数据模板...
File text	文件文本
Find a mod	查找 Mod
Find a setting (Ctrl+F)	查找设置 (Ctrl+F)
Found {0} and {1} in {2}.	在 {2} 中找到 {0} 和 {1}。
Game folder	游戏文件夹
Game not running	游戏未运行
Game running	游戏正在运行
Help from {0}.	帮助来源：{0}。
How mod makers add help	Mod 作者如何添加帮助
INI Master metadata	INI Master 元数据
